"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Cuesz Staff on member Summary page for session outcomes ","Verify on member summary page staff able to select images for session outcomes .","Successfuly able to click on  uplaod PerformanceSummary features","0","0","0","1","0"
"Cuesz Staff on member Summary page for Add new goal","Verify on member summary page staff  able to add Add new goal.","","0","1","0","0","0"
"Cuesz Staff on Logic Page for Fuel Testing","Assign recomended Fuel activity to Member"," Successfully assign fuel for member","0","0","2","0","0"
"Cuesz Staff on member Summary page for uplaod PerformanceSummary ","Verify on member summary page staff able to select images for uplaod PerformanceSummary .","","0","1","0","0","0"
"Cuesz Staff on member Summary page for Body Scan Result ","Verify on member summary page staff able to select date for Body Scan Result.","Successfuly able to click on Body Scan Result features","0","0","0","2","0"
"Cuesz Staff logic page testing for member basic details","Logic page -member basic detail testing like Gym, partner why did they join popups","Successfully update popup for member basic detail such as popup related to gym, partner etc","0","0","1","0","0"
"Cuesz Staff on member Summary page for Body Scan Result ","Verify on member summary page staff able to select date for Body Scan Result.","","0","4","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff  able to view mindful data by selecting dropdown values.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff select dropdwon for 4spheres","Successfuly able to select values from 4spheres dropdown","0","1","0","0","0"
"Cuesz Staff on member Summary page for uplaodtonnage_Physiological ","Verify on member summary page staff able to select images foruplaodtonnage_Physiological .","Successfuly able to click on  uplaodtonnage_Physiological features","0","0","0","1","0"
"Cuesz Staff on member Summary page for uplaod PerformanceSummary ","Verify on member summary page staff able to select images for uplaod PerformanceSummary .","Successfuly able to click on  uplaod PerformanceSummary features","0","0","0","1","0"
"Cuesz Staff logic page testing for member basic sections","Logic page -Member basic detail for willingness, limitations, performance score","Successfully update popup and dots for member basic detail such as Willingness, Limitations And performance score","0","0","1","0","0"
"Cuesz Staff on member Summary page for restore activity","Verify on member summary page staff  able to view restore data by selecting dropdown values.","Successfuly able to select values from restore dropdown features","0","0","0","1","0"
"Cuesz Staff on member Summary page for uplaodtonnage_Physiological ","Verify on member summary page staff able to select images foruplaodtonnage_Physiological .","","0","1","0","0","0"
"Cuesz Staff on member Summary page for Add new goal","Verify on member summary page staff  able to add Add new goal.","Successfuly able to add values for Add new goal features","0","0","0","1","0"
"Cuesz Staff on member Summary detail page","Verify member basic profile edit featire on member summary page.","Successfuly able to editable member values","0","0","1","0","0"
"Cuesz Staff on Logic Page for Mindful Testing","Assign recomended Mindful activity to Member"," Successfully assign Mindful for member","0","0","1","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff able to set Fuel Notes.","Successfuly able to add values in Fuel Notes","0","0","1","0","0"
"Cuesz Staff on member Summary page for delete new goal","Verify on member summary page staff able to delete new goal.","Successfuly able to delete values for add new goal features","0","0","0","1","0"
"Cuesz Staff on member Summary page for Edit new goal","Verify on member summary page staff  able to Edit new goal.","Successfuly able to Edit values for add new goal features","0","0","0","1","0"
"Cuesz Staff on member Summary page","Verify on member summary page search working as per keyword.","Successfuly able to search as per member name","0","0","1","0","0"
"Cuesz Staff on Logic Page for  Testing","Assign recomended Restore activity to Member"," Successfully assign Restore for member","0","0","1","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff  able to view perform data by selecting dropdown values.","Successfuly able to select values from perform dropdown features","0","0","0","1","0"
"Cuesz Staff on member Summary page for fuel activity","Verify on member summary page staff  able to view fuel data by selecting dropdown values.","Successfuly able to select values from fuel dropdown features","0","0","0","1","0"
"Cuesz Staff on member Summary page for Body Scan Result ","Verify on member summary page staff able to select date for Body Scan Result.","Successfuly able to click on Vo2 Result features","0","0","0","2","0"
"Cuesz Staff on Logic Page perform Staff Notes Testing","Member staff notes details Verification"," Successfully added staff notes for member","0","0","1","0","0"
"Cuesz Staff on member Summary page for Sleeptime ","Verify on member summary page staff able to check dropdwon for Sleeptime.","","0","1","0","0","0"
"Cuesz Staff on member Summary page for fuel activity","Verify on member summary page staff  able to view fuel data by selecting dropdown values.","","0","1","0","0","0"
"Cuesz Staff on member Summary page for Upload postures ","Verify on member summary page staff able to select images for Upload postures.","Successfuly able to click on Upload postures features","0","0","0","1","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff able to access Ability to Perform.","Successfuly able to update values in Ability to Perform","0","0","1","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page hover action for member as per various options.","Successfuly hover on member actions. ","0","0","1","0","0"
"Cuesz Staff on Logic Page for perform Testing","Assign recomended perform activity to Member"," Successfully assign perform activity for member","0","0","1","0","0"
"Cuesz Staff on Logic Page perform habbits Notes Testing","Member habbits notes details Verification"," Successfully added habbits notes for member","0","0","2","0","0"
"Cuesz Staff on member Summary page for Edit new goal","Verify on member summary page staff  able to Edit new goal.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff  able to update mindful setting for member.","Successfuly able to select & update mindful setting from mindful setting.","0","0","0","1","0"
"Cuesz Staff on member Summary page for Avatar clickable","Verify on member summary page staff able to click on Avatar.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff  able to update mindful setting for member.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff select dropdwon for 4spheres","","0","1","0","0","0"
"Cuesz Staff on member Summary page for session outcomes ","Verify on member summary page staff able to select images for session outcomes .","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff  able to view mindful data by selecting dropdown values.","Successfuly able to select values from mindful dropdown features","0","0","0","1","0"
"Cuesz Staff on member Summary page for restore activity","Verify on member summary page staff  able to view restore data by selecting dropdown values.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff able to set Preferences.","Successfuly able to add values in Preferences","0","0","1","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff set override features for perform, fuel, restore & Mindful","","0","1","0","0","0"
"Cuesz Staff on member Summary page for delete new goal","Verify on member summary page staff able to delete new goal.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff  able to view perform data by selecting dropdown values.","","0","1","0","0","0"
"Cuesz Staff on member Summary page for Upload postures ","Verify on member summary page staff able to select images for Upload postures.","","0","1","0","0","0"
"Cuesz Staff on member Summary page","Verify on member summary page staff set override features for perform, fuel, restore & Mindful","Successfuly able to select values from set override features","0","0","0","1","0"
"Cuesz Staff on member Summary page for Avatar clickable","Verify on member summary page staff able to click on Avatar.","Successfuly able to click on Avatar features","0","0","0","1","0"
"Cuesz Staff on member Summary page for Sleeptime ","Verify on member summary page staff able to check dropdwon for Sleeptime.","Successfuly able to select dropdown values in Sleeptime features","0","0","0","1","0"
